ID;Title;_description;Vendor State;Vendor Category;url;facebook;instagram;Image Featured;image-1;image-2;image-3;Emerging;Participation;Aust Made;PricePoint;Environmental;Archive
;Botanic Enve;"Botanic Enve create luxurious, fuss-free botanical skincare and perfumes. The products are all natural, vegan and handcrafted in small batches in the Adelaide foothills.
The range includes essential oil diffuser blends, face serum, clay masks, mens shaving oil, bubble bath, insect repellent and muscle recovery oil to name a few.";South Australia;Body & Soul;botanicenve.com.au;botanicenve;botanicenve;https://staging.bowerbird.net.au/vendors/Botanic-Enve-Mimosa-Perfume.jpg;https://staging.bowerbird.net.au/vendors/Botanic-Enve-Mimosa-Perfume.jpg;https://staging.bowerbird.net.au/vendors/Botanic-Enve-Collection.jpg;https://staging.bowerbird.net.au/vendors/Botanic-Enve-Happy-Diffuser-Blend.jpg;FALSE;;;;;
;Brewed By Belinda;"Brewed By Belinda is an award-winning boutique tea company creating organic artisan loose-leaf tea blends and herbal/fruit tisanes. The company was started by Belinda Hellyer in 2015. Belinda holds both a Certified Tea Master and Certified Tea Blender qualification with Australian Tea Masters.
All of the teas and tisanes are hand blended in small batches. All blends are made with 100% organic ingredients - there are no nasties. The newest addition to the range Luminositea, has been created in collaboration with leading Adelaide Naturopath, Kirsty King. The range also now includes a suite of tisanes for the early and late stages of pregnancy, breastfeeding and for new mums.
Belinda's background is in the arts as a performer, producer and arts manager. She has always taken a creative approach to her work armed with a pot of tea by her side. She has loved tea forever - it brings people together, soothes a weary soul and can ignite a creative spark.";South Australia;Pantry & Bar;brewedbybelinda.com.au;brewedbybelinda;brewedbybelinda;https://staging.bowerbird.net.au/vendors/Brewed-By-Belinda-Blackout.jpg;https://staging.bowerbird.net.au/vendors/Brewed-By-Belinda-Blackout.jpg;https://staging.bowerbird.net.au/vendors/Brewed-By-Belinda-Escape-The-Limelight.jpg;https://staging.bowerbird.net.au/vendors/Brewed-By-Belinda-Standing-Ovation.jpg;FALSE;;;;;
;Bright Threads;"Bright Threads is tabletop linen turned on its head. The brand combines a love of luxurious linen with bright and bold colour to produce an exciting way to dress your table. 
The range includes tablecloths, napkins, runners, tea towels and baby swaddles.
All products are designed in Adelaide and produced in Bali by 100% family-owned production businesses.";South Australia;Homewares;brightthreads.com.au;brightthreadsbarossa;brightthreadsbarossa;https://staging.bowerbird.net.au/vendors/Bright-Threads-Fig-Print-Napkins.jpg;https://staging.bowerbird.net.au/vendors/Bright-Threads-Fig-Print-Napkins.jpg;https://staging.bowerbird.net.au/vendors/Bright-Threads-Lilac-Polka-Dot-Napkins.jpg;https://staging.bowerbird.net.au/vendors/Bright-Threads-Wattle-Tablescape.jpg;FALSE;;;;;
;C J Designs;"C J Designs are a husband and wife team from the Fleurieu Peninsula who design and build solid timber furniture, homewares and jewellery with a focus on salvaging and cutting as much of their own timber as possible.
Their signature resin river design is featured on their tables, chopping boards and even skateboards.";South Australia;Homewares;cjdesigns.com.au;c-j-designs-164339474401957;c.j._designs;https://staging.bowerbird.net.au/vendors/Carlaejarque-Ceramics-Women-Vases.jpg;https://staging.bowerbird.net.au/vendors/Carlaejarque-Ceramics-Women-Vases.jpg;https://staging.bowerbird.net.au/vendors/Carlaejarque-Ceramics-Lava-Candle.jpg;https://staging.bowerbird.net.au/vendors/Carlaejarque-Ceramics-Nebula-Bowls.jpg;FALSE;;;;;
;Carlaejarque Ceramics;"Carla Ejarque is an architect, ceramist and teacher. Her work is inspired by the landscapes she discovers, and by nature, minerals and the magic of the sea. She creates ceramic tableware and homewares and also unique sculptures and jewellery. 
Carla is captivated by the process of creation and learning, every piece is handmade with love and care.";South Australia;Art & Stationery;en.carlaejarque.com;carlaejarqueceramics;carlaejarque;https://staging.bowerbird.net.au/vendors/C-J-Designs-Coffee-Table.jpg;https://staging.bowerbird.net.au/vendors/C-J-Designs-Coffee-Table.jpg;https://staging.bowerbird.net.au/vendors/C-J-Designs-Cheese-Board.jpg;https://staging.bowerbird.net.au/vendors/C-J-Designs-Epoxy-Wood-Rings.jpg;FALSE;;;;;
;Carly Mitolo;"Carly Mitolo is a South Australian Artist making handmade ceramic homewares and jewellery in her St Agnes studio. With studies in 2D and 3D art, she enjoys most the nostalgic and tactile qualities of clay, finding herself drawn to making with her hands as she has done from a young age. She finds joy in the idea that art, in particular the daily use of handmade objects, can fill your life with meaning, happiness and strengthen your connection to self, others and the environment.
The range includes wheel thrown functional ceramics including tumblers, mugs, tea pots and vases and also porcelain jewellery finished with sterling silver and gold plated findings.";South Australia;Homewares;carlymitoloart.com.au;carlymitoloart;carlymitoloart;https://staging.bowerbird.net.au/vendors/Carly-Mitolo-Galaxy-Mugs.jpg;https://staging.bowerbird.net.au/vendors/Carly-Mitolo-Galaxy-Mugs.jpg;https://staging.bowerbird.net.au/vendors/Carly-Mitolo-Stoneware-Daisies.jpg;https://staging.bowerbird.net.au/vendors/Carly-Mitolo-Galaxy-Sip-Cups.jpg;FALSE;;;;;
;Caroline Walker-Grime Ceramics;"Caroline Walker-Grime creates coloured glazed stoneware and mid fire wheel thrown pottery with glazes she has developed over a number of years. 
She also features a monochromatic range on which I use images of native birds or black and white decorative slip and underglaze designs over black clay.";South Australia;Homewares;;cwgpots;walkergrimepots;https://staging.bowerbird.net.au/vendors/Caroline-Walker-Grime-Ceramics-Liking-Lilac.jpg;https://staging.bowerbird.net.au/vendors/Caroline-Walker-Grime-Ceramics-Liking-Lilac.jpg;https://staging.bowerbird.net.au/vendors/Caroline-Walker-Grime-Ceramics-Ramen-Bowls.jpg;https://staging.bowerbird.net.au/vendors/Caroline-Walker-Grime-Ceramics-Holland-Urns.jpg;FALSE;New to Bowerbird;;;;
;Ceramics By Viv;"Viv's ceramic works are defined by simplicity, functionality and usability. Her pieces are made with stoneware clay and food-safe glazes - they invite you to embrace 'the slow', take pause and capture 'a moment in time'. 
Her designs are intended for the enjoyment of daily rituals, be it your morning coffee or sharing a meal around the table with loved ones, Viv�s creations aim to bring intention into our everyday busy lives.";South Australia;Homewares;ceramicsbyviv.com;facebook.com;ceramicsbyviv;https://staging.bowerbird.net.au/vendors/Ceramics-By-Viv-Bud-Vases.jpg;https://staging.bowerbird.net.au/vendors/Ceramics-By-Viv-Bud-Vases.jpg;https://staging.bowerbird.net.au/vendors/Ceramics-By-Viv-Cup-Budvase.jpg;https://staging.bowerbird.net.au/vendors/Ceramics-By-Viv-Sand-Plate.jpg;TRUE;New to Bowerbird;;;;
;Charlotte Guidolin;"Charlotte Guidolin is a jewellery designer who creates unique, small batch, one-off jewellery designs inspired by forms and textures found in nature.  Predominantly working with metals such as titanium, brass and recycled sterling silver, Charlotte uses traditional techniques to emboss and forge delicate �pieces of nature� into metal to create a jewellery keepsake with a connection to the natural world.
Charlotte hand fabricates bangles, earrings, brooches, necklaces and rings within a renewable energy run home studio space amongst Eucalyptus trees, Silky oaks and Wattle in the Adelaide foothills of South Australia.";South Australia;Jewellery;cgcj.com.au;charlotteguidolin;charlotteguidolin;https://staging.bowerbird.net.au/vendors/Charlotte-Guidolin-Wattle-Collection.jpg;https://staging.bowerbird.net.au/vendors/Charlotte-Guidolin-Wattle-Collection.jpg;https://staging.bowerbird.net.au/vendors/Charlotte-Guidolin-Hakea-Titanium-Earrings.jpg;https://staging.bowerbird.net.au/vendors/Charlotte-Guidolin-Cypress-Cycle-Brooch-and-Studs.jpg;FALSE;New to Bowerbird;;;;
;Chloe Shay Jewellery;"Chloe Shay Jewellery is a South Australian jewellery label designed and created for women who love quality bespoke jewellery. Bold, free flowing, geometric shapes, avant-garde elements and striking textures are elemental to the Chloe Shay Jewellery aesthetic.
Each handmade piece fuses creative design with modernistic practices resulting in eclectic yet contemporary wearable works of art. The latest additions to Chloe's range include children's jewellery, wedding keepsakes and initials jewellery.";South Australia;Jewellery;chloeshayjewellery.com.au;chloeshayjewellery;chloeshayjewellery;https://staging.bowerbird.net.au/vendors/Chloe-Shay-Jewellery-Loop-Leaf-Earrings.jpg;https://staging.bowerbird.net.au/vendors/Chloe-Shay-Jewellery-Loop-Leaf-Earrings.jpg;https://staging.bowerbird.net.au/vendors/Chloe-Shay-Jewellery-Asymmetric-Earrings.jpg;https://staging.bowerbird.net.au/vendors/Chloe-Shay-Jewellery-Loop-Necklace.jpg;FALSE;;;;;
;Chook Shed Designs;Chook Shed Designs create felt food and toys for play and learning. The products range from the smallest pieces of fruit and vegetables, to different collections of sweets and bakery items to handmade wooden pizza ovens.;South Australia;For Kids;store.chooksheddesigns.com.au;chooksheddesigns;chooksheddesigns;https://staging.bowerbird.net.au/vendors/Chook-Shed-Designs-Sweets-Cafe.jpg;https://staging.bowerbird.net.au/vendors/Chook-Shed-Designs-Sweets-Cafe.jpg;https://staging.bowerbird.net.au/vendors/Chook-Shed-Designs-Pastel-Sweets.jpg;https://staging.bowerbird.net.au/vendors/Chook-Shed-Designs-Bakery-Selection.jpg;FALSE;;;;;
;Claire Ishino;"Claire Ishino works from her home-studio here in Adelaide and produces original gouache or acrylic paintings and black and white ink drawings.
From these original works, she makes limited edition prints and also produces a range of greeting cards. Her range of colourful, graphic interpretations of Australian natives and other botanical forms is also used in collaborative work with local creatives who apply her art to functional and sustainable products.";South Australia;Art & Stationery;claireishino.com;claireishinodesigns;claireishino;https://staging.bowerbird.net.au/vendors/Claire-Ishino-Circle-of-Life.jpg;https://staging.bowerbird.net.au/vendors/Claire-Ishino-Circle-of-Life.jpg;https://staging.bowerbird.net.au/vendors/Claire-Ishino-Gum-Nut-Gathering.jpg;https://staging.bowerbird.net.au/vendors/Claire-Ishino-Waratah-Whirl.jpg;FALSE;;;;;
;Cuvee-Co Wines;"Cuvee Co Wines offers a delicious sparkling wine range using incredible fruit for an incredible fizz. Peta Baverstock spent almost two decades focusing on the appreciation, making and branding of sparkling wine.
Inspired by many generous people and great wines along the way to follow a passion and in particular, to pursue creating great Australian sparkling wines, she now makes outstanding bubbles on the Limestone Coast, South Australia. The latest range includes the first release of The Brave & Duke NV Sparkling Shiraz - perfect for Christmas.";South Australia;Pantry & Bar;cuveecowines.com;cuveecowines;cuveecowines;https://staging.bowerbird.net.au/vendors/Cuvee-Co-Icebucket.jpg;https://staging.bowerbird.net.au/vendors/Cuvee-Co-Icebucket.jpg;https://staging.bowerbird.net.au/vendors/Cuvee-Co-Kenneth.jpg;https://staging.bowerbird.net.au/vendors/Cuvee-Co-Prosecco.jpg;FALSE;;;;;
;Days of August;"Distinguishing itself by using reclaimed materials and partnering them with architectural and forward design, Days of August strives to create bold jewellery that is durable, timeless and easy to wear. Founded in 2011 by French-Canadian designer-maker Marie-Pier Labelle, every piece is handcrafted in her Adelaide studio.
Days of August's specialty is statement earrings, but also has a range of necklaces, hair combs, and men's accessories. All made from reclaimed industrial stainless steel, all of our pieces have a look and feel that is different from other jewellery on the market due to it's unique material and hand crafted nature.";South Australia;Jewellery;daysofaugust.com;daysofaugust;daysofaugust;https://staging.bowerbird.net.au/vendors/Days-of-August-Zurich-Earrings.jpg;https://staging.bowerbird.net.au/vendors/Days-of-August-Zurich-Earrings.jpg;https://staging.bowerbird.net.au/vendors/Days-of-August-Cannes-Earrings.jpg;https://staging.bowerbird.net.au/vendors/Days-of-August-Shanghai-Earrings.jpg;FALSE;;;;;
;Dogboy Knives;"Used by many well known chefs in South Australia and around the world, Dogboy Knives boasts a range of beautifully hand crafted chef and cheese knives.
Each knife is hand forged from high carbon steel, sourced from old discarded files, saws and mower blades. Every year the maker, Richard Cooper is commissioned by Tasting Australia to make knives for the international chefs.";South Australia;Homewares;dogboyknives.com;dogboyknives;dogboyknives;https://staging.bowerbird.net.au/vendors/Dogboy-Knives-Cheese-Knife.jpg;https://staging.bowerbird.net.au/vendors/Dogboy-Knives-Cheese-Knife.jpg;https://staging.bowerbird.net.au/vendors/Dogboy-Knives-Chef-Knife.jpg;https://staging.bowerbird.net.au/vendors/Dogboy-Knives-Steak-Knives.jpg;FALSE;;;;;
;Dusty Blend;"Dusty Blend create a selection of soaps, bath salts, bath bombs, home fragrance and body products to unwind, indulge and pamper.
The wax melts and room sprays invite memories, calm, and tranquillity in our homes, the bath bombs are for a hit of fun and colour and fizzing bath salts for ultimate relaxation. The body products including body butters, scrubs, lip balms and lotions have been created to hydrate skin which is very important in the Australian climate.";South Australia;Body & Soul;dustyblend.com.au;dustyblend;dustyblend;https://staging.bowerbird.net.au/vendors/Dusty-Blend-Artisan-Soap.jpg;https://staging.bowerbird.net.au/vendors/Dusty-Blend-Artisan-Soap.jpg;https://staging.bowerbird.net.au/vendors/Dusty-Blend-Mineral-Bath-Salts.jpg;https://staging.bowerbird.net.au/vendors/Dusty-Blend-Ocean-Breeze-Artisan-Soap.jpg;FALSE;New to Bowerbird;;;;
;Eliza Piro;"Bold, spirited and beautiful, Eliza Piro�s paintings are a celebration of colour and of life itself. Comprising an array of vibrant colours and patterns, Eliza�s paintings evoke feelings of optimism and joy.
Working in acrylic paint and watercolour, Eliza adorns her canvases with intricate patterns and motifs, as an embroiderer would a tapestry. Her process combines dot and line work along with layering and masking techniques, resulting in artworks that are rich in colour and detail.
Drawing inspiration from Suzani textiles, Indian mandalas and eastern folk art, Eliza�s paintings acknowledge elements of spirituality and tradition, while maintaining a distinctly contemporary edge. These artworks are featured on her range of beautiful brightly coloured scarves and hand made embroidered cushions.";South Australia;Fashion Accessories;elizapiro.com.au;eliza-piro-artist-243872606295988;elizapiro;;;;;FALSE;;;;;
;Es Una;"Es Una is here for your skin, your scars, your curves and your confidence. Es Una luxe swimwear range is designed for women who want to enjoy the beach and outdoors, without the worry. The range includes rashie tops, pants and dresses made from UPF50+ fabric and sized from an 8 to 22. Es Una is made using quick dry 100% recycled fabric and can be worn over your bathers.
100% Australian owned, designed and made, Es Una was born from an idea to build confidence in women and create role models in our approach to sun smart beach confidence.
This Summer, Es Una are proud to release a new print inspired by the Australian bush, designed by Australian fabric designer Chloe Studd.";South Australia;Clothing & Textiles;esuna.com.au;esunainspired;esunainspired;https://staging.bowerbird.net.au/vendors/Es-Una-Shoulder-Shrug-Rashie-Dress.jpg;https://staging.bowerbird.net.au/vendors/Es-Una-Shoulder-Shrug-Rashie-Dress.jpg;https://staging.bowerbird.net.au/vendors/Es-Una-Racer-Back-Rashie-Dress.jpg;https://staging.bowerbird.net.au/vendors/Es-Una-A-Line-Rashie-Dress.jpg;FALSE;;;;;
;Ettie Ink;"Ettie Ink is the art studio of Adelaide artist and designer, Michelle Fogden. Her vibrant and contemporary artwork sees her most recent collection inspired by botanical forms. Michelle's artwork is characterised by energetic splashes of colour within juxtaposed, bold lines. 
From her studio Michelle creates original paintings and woodblocks, open and limited-edition prints, including hand-leafed metallic pieces, and stationery, including her well-loved wall calendar. More recently, Michelle has added to her product range, featuring her designs on fabric, tea towels and wall hangings.";South Australia;Art & Stationery;ettieink.com.au;ettieink;ettieink;https://staging.bowerbird.net.au/vendors/Ettie-Ink-Little-Gems-Painting.jpg;https://staging.bowerbird.net.au/vendors/Ettie-Ink-Little-Gems-Painting.jpg;https://staging.bowerbird.net.au/vendors/Ettie-Ink-Hey-Pops-Wall-Hanging.jpg;https://staging.bowerbird.net.au/vendors/Ettie-Ink-Tea-Towel.jpg;FALSE;;;;;
;Fae and Wildling;"Fae + Wildling is a collection of natural and organic plant based skincare products. This conscious company was founded by aromatherapist and skin specialist Sophie Welsh. The range has been created especially for sensitive souls and skin types but can be enjoyed by all.
The latest release is a highly-requested serum - The Aeon. The unique formula is clean and green and is 100% natural, it gently plumps the skin, adds hydration and gives the skin a natural glow. 
Every step of bringing the products to life is done so with loving intent for customers, planet, and animal friends. Fae + Wildling's creations draw inspiration from the leaves, petals, roots, seeds, earth and spirit. The end result is honest and clean skincare that creates harmony on the skin, while gifting support to the mind and soul on a subtle level.
You won't find any nasty ingredients in these products. Just pure plant based wisdom that cares for your skin and your soul. Proudly made with love in Australia.";South Australia;Body & Soul;faeandwildling.com;faeandwildling.skincare;faeandwildling_skincare;https://staging.bowerbird.net.au/vendors/Fae-and-Wildling-Range.jpg;https://staging.bowerbird.net.au/vendors/Fae-and-Wildling-Range.jpg;https://staging.bowerbird.net.au/vendors/Fae-and-Wildling-Face-Oils.jpg;https://staging.bowerbird.net.au/vendors/Fae-and-Wildling-Trio.jpg;FALSE;;;;;
;Frankie + Mae;Designed to be an eye-catching statement, Frankie + Mae design and hand craft painted clutches, totes and accessories using bright colours and bold patterns all cut from large painted canvases. Each piece is uniquely made and is truly a one of a kind statement item.;South Australia;Fashion Accessories;frankiemae.com.au;frankie.and.mae;frankie.and.mae;https://staging.bowerbird.net.au/vendors/Frankie-Mae-Clutches.jpg;https://staging.bowerbird.net.au/vendors/Frankie-Mae-Clutches.jpg;https://staging.bowerbird.net.au/vendors/Frankie-Mae-Coiny.jpg;https://staging.bowerbird.net.au/vendors/Frankie-Mae-Tote.jpg;FALSE;New to Bowerbird;;;;
;Fresh Ginger Creative;"Annette of Fresh Ginger Creative creates intaglio dry point prints, journals and ceramic vessels that tell a story. Made by hand using clay, ink, cotton rag paper they are inspired by people�s stories and nature. Annette aims to make things that are a pleasure to hold and inspire conversations.
Annette is also a community artist and works on intergenerational storytelling projects, community wishing tree projects, and collecting and sharing stories within a community on reducing food waste.
Annette works on projects that aim to improve people�s wellbeing and sense of belonging by sharing knowledge and experience through storytelling; both words and images. ";South Australia;Art & Stationery;freshgingercreative.com.au;freshgingercreative;annetterohde;https://staging.bowerbird.net.au/vendors/Fresh-Ginger-Creative-Ceramics.jpg;https://staging.bowerbird.net.au/vendors/Fresh-Ginger-Creative-Ceramics.jpg;;;TRUE;New to Bowerbird;;;;
;Garden to Gallery;"Jenni from Garden to Gallery is a textile artist from Booborowie, South Australia. Jenni works with silk and natural dyes to create luxurious, unique, wearable art.
Each silk scarf in the Garden to Gallery collection is designed to capture the colours of nature. The dyes are crafted from plants flowers and vegetables grown in her own garden and local environment.
The process can take 6 weeks to complete. Every petal has a different concentration of colour to offer, with some of the more intense colours using 5000 flowers. Each Garden to Gallery piece is a completely one-of-a-kind piece of art.";South Australia;Fashion Accessories;jennisgardentogallery.com;gardentogallery;jennisgardentogallery;https://staging.bowerbird.net.au/vendors/Garden-to-Gallery-Large-Wrap.jpg;https://staging.bowerbird.net.au/vendors/Garden-to-Gallery-Large-Wrap.jpg;https://staging.bowerbird.net.au/vendors/Garden-to-Gallery-Hair-Scarf.jpg;https://staging.bowerbird.net.au/vendors/Garden-to-Gallery-Medium-Scarf.jpg;FALSE;;;;;
;George the Farmer;"The George the Farmer create fun picture story books to educate and inspire kids to learn about farming and where food comes from. Their vision is a world where children connect to the earth, food and farm.
Created, written and illustrated in regional South Australia by old farm kids � Simone and Ben � and printed in Adelaide, a portion of profits from the sale of each picture book is reinvested into the creation and supply of free curriculum-aligned resources for teachers to use to educate kids about where food and fibre comes from.";South Australia;For Kids;georgethefarmer.com.au;georgethefarmerau;georgethefarmerau;https://staging.bowerbird.net.au/vendors/George-the-Farmer-George-Doll-Ruby-Doll.jpg;https://staging.bowerbird.net.au/vendors/George-the-Farmer-George-Doll-Ruby-Doll.jpg;https://staging.bowerbird.net.au/vendors/George-the-Farmer-Plants-a-Wheatcrop-Book.jpg;https://staging.bowerbird.net.au/vendors/George-the-Farmer-Shears-a-Sheep-Book.jpg;FALSE;New to Bowerbird;;;;
;Ginny Pig Distillery;Ginny Pig Distillery is a husband and wife team who have very recently opened a micro-distillery in Flagstaff Hill, South Australia. Ginny Pig Distillery gins are small batched and high quality. The range consists of a classic dry gin, Blueberry and Vanilla gin, Spiced Fig gin and now the Ginny Pink Gin infused with raspberries.;South Australia;Pantry & Bar;ginnypigdistillery.com.au;ginnypigdistillery;ginnypigdistillery;https://staging.bowerbird.net.au/vendors/Ginny-Pig-Distillery-Products-2.jpg;https://staging.bowerbird.net.au/vendors/Ginny-Pig-Distillery-Products-2.jpg;https://staging.bowerbird.net.au/vendors/Ginny-Pig-Distillery-Jam.jpg;https://staging.bowerbird.net.au/vendors/Ginny-Pig-Distillery-Products.jpg;FALSE;;;;;
